asin,title,url,stars,reviews,price,cat
B0C6F2YDXT,"FDM 3D Printer,FDM Mini 3D Printer High Printing Accuracy Uniform Heating Printing Volume 4x4x4i(for Beginners)",https://www.amazon.co.uk/dp/B0C6F2YDXT,0.0,0,113.55,3D Printers
B0C9JJYXHW,KP3S Pro FDM 3D Printer Kit Printer 3D High Precision Printer Titan Extruder Direct Hotend 200x200x200mm 1.75mm PLA FDM 3D Printers For DIY Home With Direct Drive Extruder High Precision,https://www.amazon.co.uk/dp/B0C9JJYXHW,0.0,0,3699.0,3D Printers
B0C3QV1H35,TRONXY Moore 1 Clay 3D Printer,https://www.amazon.co.uk/dp/B0C3QV1H35,5.0,1,614.09,3D Printers
B09MLV2T6Q,"Hebry 3D Printer with Touch, Desktop 3D Printer Plastic, Magnetic Platform Fast 3D Printer, Intelligent 3D Slicing Software High Precision Alloy Nozzle",https://www.amazon.co.uk/dp/B09MLV2T6Q,0.0,0,1861.58,3D Printers
B0BC6M6RJT,"SuperFast 8K 3D Printer Resin Water Washable, 50um Print in 0.5 sec, Made in Korea by 3DMaterials (5000g, Clear)",https://www.amazon.co.uk/dp/B0BC6M6RJT,0.0,0,142.8,3D Printers
B07BR3F9N6,Official Creality Ender 3 3D Printer Fully Open Source with Resume Printing Function DIY 3D Printers Printing Size 220x220x250mm,https://www.amazon.co.uk/dp/B07BR3F9N6,4.3,14767,165.0,3D Printers
B01KVJCXWM,"XYZ Printing da Vinci miniMaker 3D printer (fully assembled), Open Filament, FREE for: £12 300g PLA filament, £15 maintenance tools, modelling software, and video tutorials, 15x15x15cm Built Vol.",https://www.amazon.co.uk/dp/B01KVJCXWM,3.8,56,219.99,3D Printers
B078MB7XH3,"DOBOT Magician Educational Programming Robot, 4-axis Robot Arm with 3D Printer, Pen Holder, Suction Cap, Gripper Heads for K12 or STEAM Education - Basic Version",https://www.amazon.co.uk/dp/B078MB7XH3,0.0,0,1317.14,3D Printers
B09B351N5L,Creality 3D Ender-3 S1 Pro 3D Printer,https://www.amazon.co.uk/dp/B09B351N5L,0.0,0,358.0,3D Printers
B08JG9RKG3,"ANYCUBIC Wash and Cure 2.0 Machine for LCD/DLP/SLA Resin 3D Printing Models, 2 in 1 Wash and Cure Station, UV Resin Washing Bucket and UV Curing Dryer with Rotary Curing Turntable",https://www.amazon.co.uk/dp/B08JG9RKG3,4.7,177,116.99,3D Printers
B08XMFGSP2,"Zeberoxyz Red Supporting Rod Set for Ender 3D Printer, DIY Upgrade 3D Printer Supply Parts for Creality 3D Printer Ender 3/Ender 3 pro/Ender 3 V2 3D Printer (365MM)",https://www.amazon.co.uk/dp/B08XMFGSP2,4.5,78,33.89,3D Printers
B09HZWGTHB,"Kywoo Tycoon 3D Printer, Large Print Size 240 x 240 x 230mm, DIY 3D Printer FDM Metal 3D Printers Kit with Wifi + Auto-leveling Function, Solid Cube with Linear Rail, Upgraded Silent Motherboard",https://www.amazon.co.uk/dp/B09HZWGTHB,4.6,25,219.98,3D Printers
B0CF5XSMMH,YOGAYE 3D Printer Kit High Precision With Resume Printing Professional Upgrade Impressora Auto Leveling Dual Z-Axis All-Metal Bowden Extruder X5SA 400,https://www.amazon.co.uk/dp/B0CF5XSMMH,0.0,0,7081.06,3D Printers
B09NSSGJ7S,"FLSUN‑Q5 3D Printer DIY Kit High Accuracy Auto Leveling Desktop Printer Accessories 100V‑240V (UK Plug), 3D Printer",https://www.amazon.co.uk/dp/B09NSSGJ7S,0.0,0,434.71,3D Printers
B0CDC6TG8C,"Anycubic Kobra 2 Neo 3D Printer,250mm/s Faster Printing Speed,LeviQ 2.0 Auto Leveling,Detail Upgrade-High Precision, Stability &No Layer Texture,New Short-range Extruder,8.7""x8.7""x9.84""",https://www.amazon.co.uk/dp/B0CDC6TG8C,4.4,4397,249.99,3D Printers
B00NZT8O9W,"Wanhao 4S Duplicator 3D Printer, Case Dual Extruder, Metal Frame, Black",https://www.amazon.co.uk/dp/B00NZT8O9W,3.5,19,559.48,3D Printers
B0BXPM7DFB,"Creality 3D Official Titan Direct Drive Extruder, Support 300°High Temperature Printing and 300mm/s High Flow Printing, Compatible with Ender 3, Ender 3 V2, Ender 3 Pro, Ender 3 Max 3D Printer",https://www.amazon.co.uk/dp/B0BXPM7DFB,4.3,126,89.99,3D Printers
B0B2NZXVVW,Creality Official 3D Printer Brass Nozzles MK8 0.4mm 5pcs for Ender 3 S1 Ender-3 S1 Pro CR-6 SE CR-6 Max Sermoon V1 Pro Ender-2 Pro CR-200B CR-5 Pro H(CT-380) CR-10 Smart,https://www.amazon.co.uk/dp/B0B2NZXVVW,4.6,72,5.99,3D Printers
B00THRI3V0,Builder Red 3D Printer,https://www.amazon.co.uk/dp/B00THRI3V0,0.0,0,1904.28,3D Printers
B075F92114,"Dremel Digilab 3D45 Award Winning 3D Printer with Heated Build Plate, High Build Volume (254 x 152 x 170 mm) to print 1.75 mm PLA, Nylon, Eco ABS and PETG Filament at 50 Micron Resolution",https://www.amazon.co.uk/dp/B075F92114,4.1,255,1831.02,3D Printers
B0CFV413P1,Vertical remote control wall painting machine outdoor indoor 3D background wall printer,https://www.amazon.co.uk/dp/B0CFV413P1,0.0,0,8635.0,3D Printers
B0B9GWYX2Y,HANLEES 3D Printer BLU-3 V2 I3 Printer with Dual Drive Extruder 235x235mm 3d Diy Kit 3.5-Inch Color Touch Screen Facesheild 3D Printer Accessories Controllers (Blu-3 V1),https://www.amazon.co.uk/dp/B0B9GWYX2Y,0.0,0,159.89,3D Printers
B0BNMX22GV,"Phrozen Sonic Mighty 8K LCD Resin 3D Printer, Monochrome/Mono LCD Screen, Mass-Produce 3D Printed Models with Ultra-high 8K Resolution, L21.8 x W12.3 x H23.5 Printing Volume",https://www.amazon.co.uk/dp/B0BNMX22GV,4.4,22,599.99,3D Printers
B0CG892VYH,"AOMUWKE Metal Build Plate for Photon Mono 6Ks, LCD Resin 3D Printer Part Accessories Brushed Printing Platform with Anti-Slip Hexagon Socket Screws for Photon Mono 6Ks",https://www.amazon.co.uk/dp/B0CG892VYH,0.0,0,59.99,3D Printers
B0B774DTQK,"ANYCUBIC Photon Mono X2 Resin 3D Printer, 9.1” 4K UV LCD 3D Printer with 4098 x 2560 HD Monochrome LCD Screen, Upgraded Light Turbo Matrix Light Source & Dual Linear Rail, Printing Size 7.7”x5”x7.8”",https://www.amazon.co.uk/dp/B0B774DTQK,4.4,231,299.99,3D Printers
B0CC8TP1N4,"Anycubic Kobra 2 3D Printer,LeviQ 2.0 Auto Leveling FDM 3D Printers,6X Fast Print,Novice Friendly-Professional Fast 3D Printer,10 Minutes Modular Assembly，Fully Open Source(300MM/S)",https://www.amazon.co.uk/dp/B0CC8TP1N4,4.2,489,329.0,3D Printers
B07FPSZPK4,"Flashforge Adventurer 3 3D Printer - FFF – Max. Build Volume 150 x 150 x 150 mm – Layer Thickness: 0.1 mm – LAN, USB host, Wi-Fi",https://www.amazon.co.uk/dp/B07FPSZPK4,4.3,128,349.0,3D Printers
B0CDQ4871W,"Creality Ender-3 V3 SE 3D Printer, CR Touch Auto Leveling, 250 mm/s Print Speed, Dual Z Axis, Direct Drive Extruder, Automatic Loading and Discharging Filament, for Beginners",https://www.amazon.co.uk/dp/B0CDQ4871W,0.0,0,209.0,3D Printers
B0B78K165Y,"AnkerMake M5 3D Printer, High-Speed, Speed Upgraded to 500 mm/s, Fast Mode, Smooth Detail, Easy to Use for Beginners, Error Detection with AI Camera, Auto-Leveling, Integrated Die-Cast Aluminum Alloy",https://www.amazon.co.uk/dp/B0B78K165Y,4.4,115,649.0,3D Printers
B0C4TMWHB3,Creality K1 Max 3D Printers 600mm/s Printing Speed 300 * 300 * 300 Large Build Volume Smart AI Function Dual Hands-Free Auto Leveling Dual Cooling Rigid Frame & Core XY,https://www.amazon.co.uk/dp/B0C4TMWHB3,0.0,0,889.0,3D Printers
B0C9QL6ZJQ,"ELEGOO Saturn 3 Resin 3D Printer, 10-Inch 12K Mono LCD, Voxeldance Tango Slicer, Large Printing Size of 8.62x4.84x9.84 Inch",https://www.amazon.co.uk/dp/B0C9QL6ZJQ,4.4,145,479.99,3D Printers
B0C6DK5B7P,Z-axis Auto-leveling FDM 3D Printer Metal Direct Drive Extruder Board Larger Silent Build Volume Resume Power Off Printing Professional DIY 3D Printers Fast and Precise Printing,https://www.amazon.co.uk/dp/B0C6DK5B7P,0.0,0,5599.0,3D Printers
B0B6VXGRDL,"FLASHFORGE Large-Format Guider II 3D Printer, Wireless 3D Printing and Cloud Printing, 120℃ Heatable Platform, Support PLA, ABS, PVA, Hips, PETG, Wood-Filled, Electric, Flexible, TPE (Guider 2)",https://www.amazon.co.uk/dp/B0B6VXGRDL,1.0,1,899.0,3D Printers
B0BPX7LZGB,"FLSUN Official V400 3D Printer Moving Speed Fastest 600mm/s 25000+ mm/s² FDM Delta 3D Printer with 7"" Klipper Firmware Pad, 300℃ Nozzle, Direct Drive Extruder, PEI Bed, Printing Size Φ11.8""x16""",https://www.amazon.co.uk/dp/B0BPX7LZGB,4.7,19,1165.63,3D Printers
B088GTBQWD,"SainSmart Creality Ender 3 V2 3D Printer Upgraded Version of Ender 3 Pro,with 32-bit Silent Motherboard,MeanWell Power Supply,Carborundum Glass Bed,Resume Printing,Ideal for Beginners",https://www.amazon.co.uk/dp/B088GTBQWD,4.3,556,374.5,3D Printers
B0CCCTM53S,"Creality K1 Printer - High-Speed with 600 mm/s, Dual Fan Cooling, Smart Operation, FDM Printer featuring Stable Z-Belt and Solid Metal Enclosure, capable of Color Printing",https://www.amazon.co.uk/dp/B0CCCTM53S,0.0,0,499.0,3D Printers
B0CFL3979L,"Creality K1 Max 3D Printer, 3D Printer with AI Camera, AI Lidar, Print Speed 600mm/s, 300 x 300 mm Large Space, Automatic Leveling Hands Free",https://www.amazon.co.uk/dp/B0CFL3979L,0.0,0,999.0,3D Printers
B08PYWFDGH,3D Printer X5SA PRO/X5SA-400/X5SA Large Print Size Power-off Re Touch Screen Auto Level 3d Machine PLA ABS Filamen (Color : X5SA 400) (Color : X5sa Pro),https://www.amazon.co.uk/dp/B08PYWFDGH,0.0,0,2612.99,3D Printers
B09M91DL96,Creality 3D Ender-2 Pro 3D printer Fused Deposition Modeling (FDM),https://www.amazon.co.uk/dp/B09M91DL96,5.0,1,169.0,3D Printers
B0C7C8SNFV,ANYCUBIC 3D Printing Platform for ANYCUBIC Photon Mono M5 Resin 3D Printer,https://www.amazon.co.uk/dp/B0C7C8SNFV,0.0,0,49.0,3D Printers
B0BYNSL59W,"Creality Ender-3 S1 3D Printer with Direct Drive Extruder CR Touch Auto Leveling High Precision Double Z-axis Screw Silent Board Printing Size 8.6X8.6X10.6in, Upgrade Ender 3 V2 for Beginners",https://www.amazon.co.uk/dp/B0BYNSL59W,5.0,1,399.0,3D Printers
B095GD1J99,"FlashForge Creator Pro 3D Printer, Enclosed Metal Frame Structure, Optimized Build Platform and Dual Extruder W/2 Spools, Dual Color Print and Resume Printing",https://www.amazon.co.uk/dp/B095GD1J99,3.6,22,299.0,3D Printers
B0B6PHY9V2,"Creality 3D Printer Ender-3 Neo, CR Touch Auto-leveling, Full-metal Bowden Extruder, Large Corrugated Heat Sink, Silent Motherboard, Carborundum Glass Printing Platform, 220 * 220 * 250mm",https://www.amazon.co.uk/dp/B0B6PHY9V2,4.0,20,199.0,3D Printers
B0BK89Z388,"Sovol SV06 3D Printer Open Source All Metal Hotend, Planetary Dual Gear Direct Drive Extruder 25-Point Automatic Leveling for Beginner, PEI Magnetic Platform, Printing Size 220x220x250 mm",https://www.amazon.co.uk/dp/B0BK89Z388,4.3,209,269.99,3D Printers
B09MLW5281,Hebry 2018 CR-8 3D Printer DIY KIT Mini Printer 3D Large Printer Size 210 * 210 * 210Mm And Filament+ 8G SD Card Creality 3D,https://www.amazon.co.uk/dp/B09MLW5281,0.0,0,1051.8,3D Printers
B08HRWTJ18,"ANYCUBIC Photon Mono 2 Resin 3D Printer with 6.6'' 4K + Monochrome Screen, Upgraded LighTurbo Matrix, Enlarge Print Volume 6.49'' x 5.62'' x 3.5''",https://www.amazon.co.uk/dp/B08HRWTJ18,4.4,143,229.0,3D Printers
B0C6DD6YM4,RISEDS Newest Direct Drive VEHO-600 3D Printer Large Print Size 600 * 600 * 600mm High precision Auto Leveling PEI DIY 3D Print Kit Fast and Precise Printing 3D Printers Smart Auto Leveling,https://www.amazon.co.uk/dp/B0C6DD6YM4,0.0,0,7999.0,3D Printers
B09VH3NMHP,"Creality Official 3D Printer LED Light Bar Kit Upgrade Led Chip, 24V Rated Voltage For Ender 3 S1 / Ender 3 S1 Pro 3D Printer",https://www.amazon.co.uk/dp/B09VH3NMHP,4.5,43,21.99,3D Printers
B087LZKC96,"3D Printer Creality Ender-3 V2, 2020 Upgraded 3D Printer with Silent Motherboard, Resume Printing, Convenient Tool Box, New Display",https://www.amazon.co.uk/dp/B087LZKC96,4.5,205,215.0,3D Printers
B07KT67PPC,"Official Creality K1 3D Printer with 600mm/s Printing Speed 2000mm/s² Acceleration, 300℃ High-temp 32mm/s² Flow Hotend Auto Level Dual-gear Direct Extruder Die-cast Frame Print Size 8.66*8.66*9.84in",https://www.amazon.co.uk/dp/B07KT67PPC,4.4,472,499.0,3D Printers
B09RH5C7HJ,EZGA 3D Scanner or Accessories Handheld Laser 3D Scanner 3D Magnetic Mark Point Paste Point Reflective Point Mark Point Target Point Positioning Point For 3D scanning 3D printing (Size : 5),https://www.amazon.co.uk/dp/B09RH5C7HJ,0.0,0,44.2,3D Printing & Scanning
B09Y5H2DWK,xianhuashuiguodian 3mm/1.5mm/0.8mm/0.4mm Positioning Targets 3D Scanner DIY Scanner Electronic Hardware Kit Scanning The Key Not Including Printed Plastic Parts For 3D Scaner,https://www.amazon.co.uk/dp/B09Y5H2DWK,0.0,0,178.03,3D Printing & Scanning
B08G8NR3V7,"LITAO-XIE, LT-3d, 2pcs 24v Extruder Cooling Fan For Flashforge for Dreamer 3D Printer Spare Parts",https://www.amazon.co.uk/dp/B08G8NR3V7,0.0,0,22.67,3D Printing & Scanning
B0C1CCSDN9,APAAZO 10pcs Stainless Steel Nozzle Cleaning Needles Tool 0.15mm 0.2mm 0.25mm 0.3mm 0.35mm 0.4mm Drill Compatible With V6 Nozzle 3D Printers Parts (Size : 0.2mm),https://www.amazon.co.uk/dp/B0C1CCSDN9,0.0,0,9.31,3D Printing & Scanning
B096MWT7ZH,XUNLAN durable Fit For Creality Ender-3 3S 3Pro V2 3D Printer Supporting Pull Rod Kit Aluminum Alloy Tie Rod Set Fixed Support Frame Kit Wearable (Color : Black),https://www.amazon.co.uk/dp/B096MWT7ZH,0.0,0,57.11,3D Printing & Scanning
B09DFDGGPK,MiaoMiao 8PCS 140x200mm SLA/LCD FEP Film 0.15-0.2mm Thickness Fit For Photon Resin DLP 3D Printer service (Color : Transparent),https://www.amazon.co.uk/dp/B09DFDGGPK,0.0,0,30.46,3D Printing & Scanning
B0C4317D2S,APAAZO 3D Printer Part Aluminum Profil Z-Axis Leadscrew Top Mount Compatible With Tornado CR10 ENDER 3 Ender 3 Pro Metal Z-Rod Bearing Holder BLU-3 (Color : Type 1),https://www.amazon.co.uk/dp/B0C4317D2S,0.0,0,16.86,3D Printing & Scanning
B0C94SHMWW,DAVBIR 6pcs 3D Printer Parts 1m Blue PTFE Tube With Tube Cutter 4pcs Pneumatic Connector For Bowden Extruder J-head Hotend 1.75mm perfection,https://www.amazon.co.uk/dp/B0C94SHMWW,0.0,0,23.86,3D Printing & Scanning
B093KX1KHR,MAIO Fit For XCR3D TMC2208 V2.0 Stepper Motor Driver Module StepStick Fit For Motherboard Is Ultra-Quiet With Heat Sink 3D Printer Parts service (Size : TMC2208 6PCS),https://www.amazon.co.uk/dp/B093KX1KHR,0.0,0,31.52,3D Printing & Scanning
